timestamp,tag,seed,num_demo_transitions,num_random_episodes,action_repeat,hidden_dim,num_layers,normalize,inv_dyn_lr,num_inv_dyn_iters,num_bc_iters,num_random_transitions,random_pos_min,random_pos_max,inv_dyn_train_acc,demo_acc,demo_n_left,demo_acc_left,demo_n_noop,demo_acc_noop,demo_n_right,demo_acc_right,demo_pos_min,demo_pos_max,demo_n_in_range,demo_acc_in_range,demo_n_out_range,demo_acc_out_range,bc_final_loss,return_mean,return_min,return_max,success_rate
2026-09-24T19:13:55,iters,8,249,5,1,64,2,True,0.01,50,100,1000,-0.6724045276641846,-0.3954290747642517,1.0,0.6345381736755371,37,0.5675675868988037,61,1.0,151,0.503311276435852,-0.9386533498764038,0.4995170831680298,103,0.8058252334594727,146,0.5136986374855042,0.5860708951950073,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:56,iters,2,249,5,1,64,2,True,0.01,100,100,1000,-0.6733376383781433,-0.38790905475616455,1.0,0.6345381736755371,37,1.0,61,1.0,151,0.3973509967327118,-0.9386533498764038,0.4995170831680298,103,0.8737863898277283,146,0.465753436088562,0.49420884251594543,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:58,iters,4,249,5,1,64,2,True,0.01,100,100,1000,-0.7610793113708496,-0.25302207469940186,1.0,0.9598393440246582,37,1.0,61,1.0,151,0.9337748289108276,-0.9386533498764038,0.4995170831680298,134,1.0,115,0.9130434989929199,0.40141111612319946,-175.33333333333334,-200.0,-132.0,0.5
2026-09-24T19:13:59,iters,8,249,5,1,64,2,True,0.01,100,100,1000,-0.6951673626899719,-0.3411482572555542,1.0,0.7469879388809204,37,0.837837815284729,61,1.0,151,0.6225165724754333,-0.9386533498764038,0.4995170831680298,112,0.8214285969734192,137,0.6861313581466675,0.5756950974464417,-200.0,-200.0,-200.0,0.0
2026-09-24T19:14:01,iters,2,249,5,1,64,2,True,0.01,250,100,1000,-0.761505663394928,-0.30491936206817627,1.0,0.8473895788192749,37,1.0,61,1.0,151,0.748344361782074,-0.9386533498764038,0.4995170831680298,127,0.8897637724876404,122,0.8032786846160889,0.6507516503334045,-200.0,-200.0,-200.0,0.0
2026-09-24T19:14:03,iters,4,249,5,1,64,2,True,0.01,250,100,1000,-0.7391324043273926,-0.2949281930923462,1.0,0.9236947894096375,37,1.0,61,1.0,151,0.8741722106933594,-0.9386533498764038,0.4995170831680298,125,1.0,124,0.8467742204666138,0.42856404185295105,-147.16666666666666,-168.0,-127.0,1.0
2026-09-24T19:14:04,iters,8,249,5,1,64,2,True,0.01,250,100,1000,-0.7536891102790833,-0.293632835149765,1.0,0.935742974281311,37,1.0,61,1.0,151,0.8940397500991821,-0.9386533498764038,0.4995170831680298,127,1.0,122,0.868852436542511,0.4805811047554016,-193.0,-200.0,-158.0,0.16666666666666666
2026-09-24T19:14:06,iters,2,249,5,1,64,2,True,0.01,500,100,1000,-0.6451320052146912,-0.35883137583732605,1.0,0.6666666865348816,37,0.6486486196517944,61,1.0,151,0.5364238619804382,-0.9386533498764038,0.4995170831680298,104,0.8269230723381042,145,0.5517241358757019,0.5347031354904175,-200.0,-200.0,-200.0,0.0
2026-09-24T19:14:08,iters,4,249,5,1,64,2,True,0.01,500,100,1000,-0.6856790781021118,-0.3695465326309204,1.0,0.7911646366119385,37,0.8108108043670654,61,1.0,151,0.7019867300987244,-0.9386533498764038,0.4995170831680298,107,0.9065420627593994,142,0.7042253613471985,0.4878317415714264,-200.0,-200.0,-200.0,0.0
2026-09-24T19:14:10,iters,8,249,5,1,64,2,True,0.01,500,100,1000,-0.7163568139076233,-0.35325559973716736,1.0,0.8152610659599304,37,1.0,61,1.0,151,0.695364236831665,-0.9386533498764038,0.4995170831680298,113,0.9026548862457275,136,0.7426470518112183,0.5714810490608215,-200.0,-200.0,-200.0,0.0
2026-09-24T19:14:12,iters,2,249,5,1,64,2,True,0.01,3000,100,1000,-0.7259002923965454,-0.3192075490951538,1.0,0.8634538054466248,37,1.0,61,1.0,151,0.7748344540596008,-0.9386533498764038,0.4995170831680298,119,0.9495798349380493,130,0.7846153974533081,0.5466153621673584,-200.0,-200.0,-200.0,0.0
2026-09-24T19:14:15,iters,4,249,5,1,64,2,True,0.01,3000,100,1000,-0.7016682624816895,-0.3685026168823242,1.0,0.8835341334342957,37,0.9729729890823364,61,1.0,151,0.8145695328712463,-0.9386533498764038,0.4995170831680298,109,1.0,140,0.7928571701049805,0.37327852845191956,-185.0,-200.0,-166.0,0.5
2026-09-24T19:14:17,iters,8,249,5,1,64,2,True,0.01,3000,100,1000,-0.7233582139015198,-0.3245914578437805,1.0,0.8955823183059692,37,1.0,61,1.0,151,0.8278145790100098,-0.9386533498764038,0.4995170831680298,119,1.0,130,0.800000011920929,0.3527938425540924,-195.16666666666666,-200.0,-171.0,0.16666666666666666
2026-09-24T19:14:19,small_short,2,249,5,1,4,2,True,0.01,50,100,1000,-0.7534226775169373,-0.31151583790779114,0.8629999756813049,0.935742974281311,37,1.0,61,0.7377049326896667,151,1.0,-0.9386533498764038,0.4995170831680298,123,0.9430894255638123,126,0.9285714030265808,0.41426873207092285,-200.0,-200.0,-200.0,0.0
2026-09-24T19:14:20,small_short,4,249,5,1,4,2,True,0.01,50,100,1000,-0.6907817721366882,-0.3833310902118683,0.8510000109672546,0.5502008199691772,37,0.8108108043670654,61,0.5901639461517334,151,0.4701986610889435,-0.9386533498764038,0.4995170831680298,106,0.7641509175300598,143,0.3916083872318268,0.3909250795841217,-191.83333333333334,-200.0,-151.0,0.16666666666666666
2026-09-24T19:14:21,small_short,8,249,5,1,4,2,True,0.01,50,100,1000,-0.7393813133239746,-0.3407917022705078,1.0,0.9718875288963318,37,0.8108108043670654,61,1.0,151,1.0,-0.9386533498764038,0.4995170831680298,118,1.0,131,0.9465649127960205,0.35132938623428345,-167.33333333333334,-200.0,-123.0,0.6666666666666666
2026-09-24T19:14:23,small_short,2,249,5,1,4,2,True,0.01,250,100,1000,-0.7703838348388672,-0.33349138498306274,1.0,0.9799196720123291,37,1.0,61,0.9180327653884888,151,1.0,-0.9386533498764038,0.4995170831680298,123,1.0,126,0.9603174328804016,0.38651010394096375,-193.16666666666666,-200.0,-179.0,0.3333333333333333
2026-09-24T19:14:24,small_short,4,249,5,1,4,2,True,0.01,250,100,1000,-0.7231564521789551,-0.35123634338378906,1.0,0.9076305031776428,37,1.0,61,0.9180327653884888,151,0.8807947039604187,-0.9386533498764038,0.4995170831680298,115,1.0,134,0.8283582329750061,0.45038318634033203,-181.0,-200.0,-161.0,0.5
2026-09-24T19:14:26,small_short,8,249,5,1,4,2,True,0.01,250,100,1000,-0.7814190983772278,-0.3082672953605652,1.0,0.9839357137680054,37,1.0,61,1.0,151,0.9735099077224731,-0.9386533498764038,0.4995170831680298,129,1.0,120,0.9666666388511658,0.4263174533843994,-160.33333333333334,-200.0,-122.0,0.6666666666666666
2026-09-24T19:14:27,lr,2,249,5,1,64,2,True,0.001,1000,100,1000,-0.7092710733413696,-0.2882285416126251,1.0,0.9236947894096375,37,1.0,61,1.0,151,0.8741722106933594,-0.9386533498764038,0.4995170831680298,120,1.0,129,0.8527131676673889,0.41917887330055237,-175.83333333333334,-200.0,-128.0,0.5
